"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-225.0-mRNA-1:1",156.577116955591,-7.20005210088081,1.98634044470575,-3.62478250899603,0.000289204729352079,0.0161199386993063
"augustus_masked-NW_019167827.1-processed-gene-11.2-mRNA-1:2",81.9947392024538,-5.5034292420565,1.51929928424276,-3.62234702479931,0.000291942110560124,0.0161199386993063
"augustus_masked-NW_019167827.1-processed-gene-6.11-mRNA-1:5",167.469128995527,-7.17591764366655,1.99324449309065,-3.60011913668445,0.000318071411642836,0.0171986134573096
"augustus_masked-NW_019167827.1-processed-gene-70.12-mRNA-1:1",115.606038662503,-7.11926978205595,1.97832689191188,-3.5986316574688,0.000319895893968558,0.0171986134573096
"augustus_masked-NW_019167827.1-processed-gene-39.5-mRNA-1:5",64.8277107793321,-6.91543588836587,1.92504933069104,-3.59234216916583,0.000327719145227798,0.0173903951610491
"augustus_masked-NW_019167827.1-processed-gene-47.6-mRNA-1:2",136.060202286969,-7.12631513791543,1.9880638697514,-3.58455039918137,0.000337659360224451,0.017598687333984
"augustus_masked-NW_019167827.1-processed-gene-191.1-mRNA-1:1",105.208760462967,-7.0806079666638,1.97722885064447,-3.58107659836943,0.000342181308446953,0.017598687333984
"augustus_masked-NW_019167827.1-processed-gene-88.6-mRNA-1:1",67.3146315516505,-6.93511624765879,1.93821843461943,-3.57808806468219,0.000346116841550088,0.017598687333984
"augustus_masked-NW_019167827.1-processed-gene-231.2-mRNA-1:4",101.576398838098,-7.06794603414496,1.97648710544892,-3.57601423994093,0.000348872656400564,0.017598687333984
"augustus_masked-NW_019167827.1-processed-gene-50.13-mRNA-1:1",1820.96501716522,-5.898827010462,1.65627734457311,-3.56149713077334,0.000368746138868275,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-23.13-mRNA-1:1",105.712287477901,-5.06036943579057,1.42129187042689,-3.56040130889559,0.000370288461515431,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-29.8-mRNA-1:1",93.3557037902617,-7.02585818277048,1.9764057010856,-3.55486638138684,0.000378171220653318,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-216.15-mRNA-1:2",190.191119630951,-4.95162251318888,1.39349739998278,-3.55337764767274,0.000380318065509908,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-214.7-mRNA-1:4",1877.58950105397,-5.66350874657654,1.59429466573231,-3.55236009271542,0.000381791989864091,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-32.6-mRNA-1:4",56.5785611493132,-6.78054350542215,1.90973603309785,-3.55051346778183,0.000384480463435463,0.0180573238344518
"augustus_masked-NW_019167827.1-processed-gene-64.6-mRNA-1:1",97.6117409605519,-7.00226969745788,1.98346806694234,-3.53031632531014,0.000415063095802495,0.019272134198284
